pop_id,spp,gfe_id,sys_nm,geom_mean
3119,CM,2090,AIRPORT SIDE CHANNEL,1386.560366
3122,CM,2092,GARBAGE DUMP CREEK,191.257027
3125,CM,2093,GEORGE HALL CREEK,66.25080087
3128,CM,2095,SKIMLETS CREEK,13.207709
3129,CM,2096,WALKER ISLAND CREEK,201.246118
3132,CM,2239,CLAYTON FALLS CREEK,64.49936159
3135,CM,2242,THORSEN CREEK,4378.575783
3138,CM,2244,NOOHALK CREEK,334.6763352
3141,CM,2245,NOOKLIKONNIK CREEK,3781.871398
3143,CM,2246,FISH CREEK,443.3541149
3145,CM,2250,NUSATSUM RIVER,300
3163,CM,3403,SALLOOMT RIVER,1287.102928
3174,CM,2241,TASTSQUAN CREEK,547.8809653
3232,CM,2830,KAMIN CREEK,1750
3233,CM,2831,GOIN CREEK,87.82849635
3418,CM,2686,JANE CREEK,
3421,CM,2688,BULLOCK CHANNEL EAST CREEK,188.141904
3423,CM,2689,BULLOCK CHANNEL #2 CREEK,2017.588927
3425,CM,2690,BULLOCK CHANNEL #3 NORTH CREEK,478.5684574
3427,CM,2691,BULLOCK CHANNEL #3 SOUTH CREEK,270.1517782
3450,CM,3555,JENNY BAY EAST CREEK,141.9042809
3452,CM,2693,JENNY BAY SOUTH CREEK,358.8395019
3454,CM,2692,JENNY BAY WEST CREEK,1489.46719
39766,CM,1436,HEAD CREEK,480.3907698
42703,CM,1821,GULL CREEK,206.601673
42708,CM,1822,OSMENT CREEK,90.96201199
42713,CM,1823,KWAKWA CREEK,43.2140147
42718,CM,1824,MEYERS PASS CREEK,230.3342108
42723,CM,1825,GORILLA CREEK,927.8642915
42728,CM,1826,REAK CREEK,40
42733,CM,1827,PENO CREEK,121.5313021
42738,CM,1828,CALDER CREEK,171.988841
42743,CM,1829,LAGOON CREEK,107.0281526
42748,CM,1830,MARY COVE CREEK,42.47886266
42753,CM,1831,WATSON BAY CREEK,95.07045719
42758,CM,1832,BOTTLENECK CREEK,200.1523983
42763,CM,1833,JAMES BAY CREEK,417.1920657
42768,CM,1834,CANYON CREEK,316.0187991
42773,CM,1835,GEISH CREEK,92.00560868
42778,CM,1836,DUTHIE CREEK,1099.82245
42783,CM,1837,WINDY BAY CREEK,195.0409639
42788,CM,1838,CANOONA RIVER,22.23881524
42793,CM,1839,SODA CREEK,623.535219
42828,CM,1588,LAGOON CREEK,8478.792571
42863,CM,1595,THORSEN CREEK,636.7690545
43243,CM,1809,MCLOUGHLIN CREEK,991.1261829
