gnis_name,magnitude_based_abundance
Amback Creek,MANY_SALMON
Ashlulm Creek,MANY_SALMON
Atnarko River,MANY_SALMON
Bella Coola River,MANY_SALMON
Canoona River,MANY_SALMON
Chuckwalla River,MANY_SALMON
Clatse Creek,MANY_SALMON
Clifford Creek,SOME_SALMON
Dallery Creek,MANY_SALMON
Dean River,MANY_SALMON
Duffey Creek,SOME_SALMON
Elcho Creek,MANY_SALMON
Inziana River,MANY_SALMON
Johnston Creek,MANY_SALMON
Kainet Creek,MANY_SALMON
Khutze River,MANY_SALMON
Kilbella River,MANY_SALMON
Kimsquit River,MANY_SALMON
Koeye River,MANY_SALMON
Kwatna River,MANY_SALMON
Machmell River,MANY_SALMON
Martin River,MANY_SALMON
Mussel River,MANY_SALMON
Neechanz River,MANY_SALMON
Neekas Creek,MANY_SALMON
Nusatsum River,MANY_SALMON
Roscoe Creek,MANY_SALMON
Sheemahant River,MANY_SALMON
Talchako River,MANY_SALMON
Wahgilah Creek,SOME_SALMON
Wannock River,MANY_SALMON
Washwash River,MANY_SALMON
Young River,MANY_SALMON
